EventID,DecodedID,EventName,DateTime
Za5ju3rKuqZDeBGf-Z70PeE1RV3XCX4OUH,R250328,Toronto Raptors vs Charlotte Hornets,2025-03-28 23:30:00+00:00
Z7r9jZ1A7u786,L250329,Los Angeles Kings vs. Toronto Maple Leafs,2025-03-29 23:00:00+00:00
1AdZZb8GkDbb0tf,R250330,Philadelphia 76ers vs. Toronto Raptors,2025-03-30 23:30:00+00:00
Za5ju3rKuqZBYbwg4K1yuBBXL98hd9s54,L250331,Suites - Ducks vs. Toronto Maple Leafs,2025-03-31 00:00:00+00:00
vvG10ZbunS6f2c,L250331,Anaheim Ducks vs. Toronto Maple Leafs,2025-03-31 00:00:00+00:00
vv1A7Zk78GkeHQ0jD,R250402,Chicago Bulls vs. Toronto Raptors,2025-04-02 00:00:00+00:00
177ZvOG62XcLN-1,L250402,Toronto Maple Leafs vs. Florida Panthers,2025-04-02 23:30:00+00:00
Za5ju3rKuqZDvm8yfzId4azze6BARw7vub,L250402,Toronto Maple Leafs vs Florida Panthers,2025-04-02 23:30:00+00:00
Za5ju3rKuqZBDB-z8ungFeFz_hMvCt4V_,L250402,Toronto Maple Leafs vs Florida Panthers,2025-04-02 23:30:00+00:00
Za5ju3rKuqZDerR_TcC0PvKn8wmnw_01D7,L250402,Toronto Maple Leafs vs Florida Panthers,2025-04-02 23:30:00+00:00
Za5ju3rKuqZDv8688sii-eG5l2cP7pg3Bc,L250402,Toronto Maple Leafs vs Florida Panthers,2025-04-02 23:30:00+00:00
Za5ju3rKuqZDv-Is2Dqkc64QLuhnWhbHiC,L250402,Toronto Maple Leafs vs Florida Panthers,2025-04-02 23:30:00+00:00
Za5ju3rKuqZDvAD-9MUJ4G_IntwWVb5jNf,R250403,Toronto Raptors vs Portland Trailblazers,2025-04-03 23:30:00+00:00
Za5ju3rKuqZDeygfTFYl_up5Iw6pMaDN1t,R250403,Toronto Raptors vs Portland Trailblazers,2025-04-03 23:30:00+00:00
Za5ju3rKuqZBSch6kJGtuunm75qfxCtZA,R250403,Toronto Raptors vs Portland Trailblazers,2025-04-03 23:30:00+00:00
1k7Zv-a6GACO8yq,R250403,2010s DECADE NIGHT | Toronto Raptors v Portland Trail Blazers,2025-04-03 23:30:00+00:00
Za5ju3rKuqZDelHbPpNgy15QO934b0GVXZ,R250403,Toronto Raptors vs Portland Trailblazers,2025-04-03 23:30:00+00:00
Za5ju3rKuqZDexumuanny1jIY8pnigW6D1,R250404,Toronto Raptors vs Detroit Pistons,2025-04-04 23:30:00+00:00
1k7Zv-a6GAC-Zy-,R250404,MLSE FOUNDATION AWARENESS NIGHT | Toronto Raptors v Detroit Pistons,2025-04-04 23:30:00+00:00
Za5ju3rKuqZBkAckV4s422D78VjPOVHrf,R250404,Toronto Raptors vs Detroit Pistons,2025-04-04 23:30:00+00:00
Za5ju3rKuqZDeJ39vJSKtZE1pEW9MmEqdU,R250404,Toronto Raptors vs Detroit Pistons,2025-04-04 23:30:00+00:00
Za5ju3rKuqZDeTXdD5C4_k_5ApXIRTZNyG,R250404,Toronto Raptors vs Detroit Pistons,2025-04-04 23:30:00+00:00
Za5ju3rKuqZDe54FMxLncZ_nUWHcfU4v9r,L250405,Toronto Maple Leafs vs Columbus Blue Jackets,2025-04-05 23:00:00+00:00
Za5ju3rKuqZBCkelpeas1Q_lqhuIVyQKt,L250405,Toronto Maple Leafs vs Columbus Blue Jackets,2025-04-05 23:00:00+00:00
177ZvOG62XcOS-C,L250405,Toronto Maple Leafs vs. Columbus Blue Jackets,2025-04-05 23:00:00+00:00
Za5ju3rKuqZDvD625vDtW78zWKunIo5lnE,L250405,Toronto Maple Leafs vs Columbus Blue Jackets,2025-04-05 23:00:00+00:00
Za5ju3rKuqZDv3WkgFyHc7FaXHaDiCYvfI,L250405,Toronto Maple Leafs vs Columbus Blue Jackets,2025-04-05 23:00:00+00:00
Za5ju3rKuqZDetOYxhVp_ZCQfuob-rc79l,L250405,Toronto Maple Leafs vs Columbus Blue Jackets,2025-04-05 23:00:00+00:00
Za5ju3rKuqZDdi-FeuhAqdoQwrrlyU6GGB,R250406,BKLYN Gold Pass - Nets vs.Toronto Raptors,2025-04-06 19:30:00+00:00
Za5ju3rKuqZDdVR_IXUeu2HFjhF7e28WmH,R250406,JetBlue at the Key Pass-Nets v Toronto Raptors,2025-04-06 19:30:00+00:00
